preprocessed_text,label_sentiment_numbered
a caller to a radio talk show recently shared that his wife was hospitalized n told she had covid n only a couple of days left to live a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out it was legionnaires disease from the moisture n bacteria in her mask she was given antibiotics n within two days was better what if these spikes in covid are really something else due to mask induced infections,2
ythseluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid 19 jateng sbb,2
kadrun kalo lihat foto ini panas dingin,0
lihat mereka sudah siap diri dengan baik untuk kuasa negri ini,2
italia punya fasilitas awat sehat canggih tapi semua gagal kendali corona karena awal itu hanya anggap sekadar lelucon dan sekarang presiden mereka menang karena tak cukup lahan untuk kubur 700an korban corona per hari mungkin hari ini sudah lebih dari 700,2
rela anak cucu kita bikin seperti anak2 rohingya ini ketika komunis kuasa,2
fadlizon semua warga indonesia yg tdk pilih prabowo di pilpres 2019 akan km usir dr indonesia serius ini si zonk httpstcojvjxc0jhmp,1
hahhahhahahhaha indonesia di penuh pki gimanah nih pa kowi,2
astaga sandiaga saran warga ngadu ke lurah saja tak perlu ke balai kota,0
hati hati panggil telpon nomor tidak kenal,0
corona is a hoax,0
nah mundur lebih hormat daripada di pecat hayo yang lain monggo undur diri saja kalau rasa tidak sanggup dan tidak becus kerja,2
bantu yang baru datang 30 orang di tes semua positif corona,2
aku mirip ashraf pria ini ingin nikah bcl,2
presiden cina xi jinping unjung masjid dan minta umat islam untuk doa di negara yang sedang landa krisis ini kami butuh bantu anda,0
jokowi mulai puc4t sby ungk4p p3l4ku k0rup51 jiwasraya duga orang belakang jokow1 heboh,2
kenal all jakarta water park,1
camat pedurungan,1
tv luar negeri sudah berita prabowo the next presiden,1
simulasi orang gila di bawa ke tps saat milu nantipertama jadi di dunia,2
jadwal hercules malam ini jam 1900 dan 0300 subuh besok di lanud makassar,1
ini alquran palsu karang orang kafir,0
konser gue 3 menang telak,2
tni umum waras kecuali wereng coklatkenapa gitu yah masa sih sejarah buruk harus ulang kembali rem bgt danjen kopassus fpi itu ormas besar dan suka bantu berantas kemahsiatan yang harus bubar ormas preman yang suka beking kemahsiatan dan suka bikin resah masyarakat,2
sebar gambar dua piagam yang nyata jika aksi 212 dapat harga dari rekor dunia,1
demo neo pki hari ini udah dapat ijin dari buntel kentut maaf ralat dari petinggi polisi tinggal tunggu gendering perang tabuh aja,0
mana ria saya pancasila mu oleh dr abdul muti med sekum pp muhamadyah,0
