preprocessed_text,label_sentiment_numbered,Prediksi SVM,Prediksi Logistic Reggresion,Prediksi Random Forest,Prediksi Naive Bayes Classifier,Prediksi KNN
29 tokoh dukung capres 02 kena motif siapa saja mereka,2,1,1,1,1,0
jadi di bandung aseng mulai pake no seri mobil china,0,1,1,1,1,1
lihat mereka sudah siap diri dengan baik untuk kuasa negri ini,2,1,1,1,2,1
us government funded insect spy drone and already in production,1,1,1,1,1,1
bilah sekarang,1,1,1,1,1,0
di manado sudah edar bendera pki bagaimana tindak perintah apa masih larang aparat untuk tidak lebih organisasi lambang palu arit ini,0,0,1,1,0,0
perintah rencana impor beras 1 juta ton indonesia gagal swasembada,0,1,1,1,0,0
hati hati panggil telpon nomor tidak kenal,0,1,1,1,1,1
dwayne the rock johnson tinggal dunia di usia yang ke47 tahun telah gagal laku aksi,0,2,2,1,0,0
mahasiswa harus harga dosen selaku orang tua tapi ini malah pukul dosen selaku orang tuasemoga mahasiswa sebut beri hidayah dan bisa minta maaf dengan dosen sebut,0,0,0,1,2,0
astaga sandiaga saran warga ngadu ke lurah saja tak perlu ke balai kota,0,0,0,1,0,0
foto helikoptertank pertama di dunia buat turki dan pakistan,1,2,2,0,2,2
menteri luar negeri klarifikasi tidak ada anakanak wni yang tahan australia,1,2,2,2,2,1
perintah akan ngutang lagi untuk bayar bunga utang,2,1,1,1,1,1
wfh singkat dari working from home alias kerja di rumah see,2,0,0,1,0,0
hebat curang kpu dan rezim pki jokowi ini,0,0,0,0,0,0
anda telah pilih untuk ambil bagi dalam survei singkat kami dan dapat 20 gb koneksi internet gratis lama 60 hari,0,1,1,1,0,0
arseto pariadji serah diri ke polisi,1,1,1,1,1,0
rencana batas kendara dasar pelat nomor ganjilgenap di tol jakartacikampek akan uji coba pada selasa 2282017 uji coba sistem sebut hanya laku pada pagi hari,2,2,2,1,2,0
iklan lowong kerja hamil istri lurah di gorontalo hadiah rp 10 juta,2,1,1,1,1,0
cek tangkap layar,1,1,1,1,2,2
biar rakyat taukalo rezim ini di pimpin yang sekarang akan di sahkan undang2 lgbt nikah antar jenislaki nikah sama lakiwanita nikah sama wanitamakanya musibah akan terus datang hampir kita semua,1,1,1,1,1,1
fadlizon semua warga indonesia yg tdk pilih prabowo di pilpres 2019 akan km usir dr indonesia serius ini si zonk httpstcojvjxc0jhmp,1,1,1,1,1,1
derita gila akibat pilpres tingkat tajam di sumbar,2,2,2,1,2,2
lsf klarifikasi kait potong 7 menit durasi film avengers infinity war,0,1,1,1,1,2
produsen rokok phillip morris mulai jual jenis rokok yang gandung ganja atau marijuana produk ini pasar dengan jenis marlboro m dan sedia di outlet khusus yang lisensi di negara bagi colorado dan wshington dc,2,2,2,0,2,0
busuk rs bokap gw sakit apa di diagnosa nya covid inti yg tinggal di rs langsung di vonis covid angka mati covid yg tingkat mungkin bukan karena covid lai data asal dari rs,0,2,2,2,2,2
maka dari itu perintah kerja sama dengan seluruh provider indonesia bagi kuota besar 10gb agar kita semua tetap komunikasi,2,2,2,2,2,0
a caller to a radio talk show recently shared that his wife was hospitalized n told she had covid n only a couple of days left to live a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out it was legionnaires disease from the moisture n bacteria in her mask she was given antibiotics n within two days was better what if these spikes in covid are really something else due to mask induced infections,2,1,1,1,1,0
islam jangan liberal,1,0,0,1,0,0
dan bersih,2,0,0,1,0,0
hahhahhahahhaha indonesia di penuh pki gimanah nih pa kowi,2,1,1,1,1,0
upa vidio yang jelas jika biskuit crispy crackers kandung lilin karena sangat mudah bakar,2,1,1,1,0,0
benar ada negara dalam negara pantai indah kapok mau masuk pakai sepeda harus punya pasport benar ini fokusstopruuhip fokusstopruuhip,2,2,2,2,2,2
foto rusuh demo anti trump di amerika serikat,0,2,2,1,2,2
kami bukan merah putih,1,1,1,1,1,0
kenapa rakyat tak berontak,1,1,1,1,1,0
biasa kadrun nyomot foto buat bikin hoax,0,0,0,0,0,0
kece daftar pilih,1,1,1,1,1,1
ythirjoko widodo anda presiden pertama dan akhir prestasi di dunia hasil runtuh masjid bukan bangun masjid hahahaha jokowijokowi,0,0,2,1,2,0
mari rapat gera kita hingga akhir juni 26 27 28 juni prabowo subianto sandiaga salahuddin uno presiden dan wakil presiden ri 2019 2024,2,1,1,1,1,1
peta sebar covid19 wilayah situbondo,1,1,1,1,1,0
hatihati lampung sudah masuk zona merah,1,1,1,1,1,1
polisi tembak saksi yang tidak trima rekap pleno kpu,1,1,1,1,0,0
gedung tri akan jual,1,1,1,1,1,1
aku mirip ashraf pria ini ingin nikah bcl,2,1,1,1,1,1
baru saja jadi bincang hangat di kalang intelijen dua orang anggota mossad israel tangkap kamera cctv di sulawesi agen ini duga sedang latih kelompok teroris palsu yang juga sedang latih oleh brimob infovalid,0,2,2,2,2,0
assalamualaikum wr wb temen2 spesialisjust infobeberapa rumah sakit paksa tutup karena karyawan positif,0,0,0,1,0,0
bukan hoak tauini nyata di shoot tv one cuma bisa bhs cina,0,1,1,1,1,1
innalillahi wainnaillaihi rojiunkorban gowes pake masker td pagi belakang citragrand an kollautt didik hari prasetyosemoga amal ibadahnx terima allah swt,1,1,1,1,1,1
mohon info nya apakah benar foto inimasjid di daanmogot ini bangun dengan bentuk salib besar,2,2,2,2,2,2
5g antenna inside of your masks,1,1,1,1,1,0
rombong aniessandi tilang dan tak milik izin patwal di puncak bogor,1,2,2,1,2,1
tusuk gigi sebar hiv aids,1,1,1,1,1,0
seru tum psi habis nyoblos makan babi samasama,2,1,1,1,1,0
akibat salah gaul koalisi antara kaum ayam dan kaum doro,0,1,1,1,1,0
tadi siang saya temu dan diberitahu tetangga ruslan buton di baubau bhw la gode yang bunuh bukan tani tetapi preman di halmahera yg sangat resah masyarakat dia bunuh ketka serang asrama tni itu sebab ruslan buton dkk dapat apresiasi warga,0,2,2,1,1,2
coba cek kode warna register pd pasta gigi anda letak ada ujung tengah pasta gigi,1,2,1,1,2,2
biadab banget laku mereka sama jenazah muslim,2,1,1,1,1,0
