preprocessed_text,label_sentiment
a caller to a radio talk show recently shared that his wife was hospitalized n told she had covid n only a couple of days left to live a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out it was legionnaires disease from the moisture n bacteria in her mask she was given antibiotics n within two days was better what if these spikes in covid are really something else due to mask induced infections,positif
ythseluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid 19 jateng sbb,positif
kadrun kalo lihat foto ini panas dingin,negatif
lihat mereka sudah siap diri dengan baik untuk kuasa negri ini,positif
italia punya fasilitas awat sehat canggih tapi semua gagal kendali corona karena awal itu hanya anggap sekadar lelucon dan sekarang presiden mereka menang karena tak cukup lahan untuk kubur 700an korban corona per hari mungkin hari ini sudah lebih dari 700,positif
rela anak cucu kita bikin seperti anak2 rohingya ini ketika komunis kuasa,positif
fadlizon semua warga indonesia yg tdk pilih prabowo di pilpres 2019 akan km usir dr indonesia serius ini si zonk httpstcojvjxc0jhmp,netral
hahhahhahahhaha indonesia di penuh pki gimanah nih pa kowi,positif
astaga sandiaga saran warga ngadu ke lurah saja tak perlu ke balai kota,negatif
hati hati panggil telpon nomor tidak kenal,negatif
corona is a hoax,negatif
nah mundur lebih hormat daripada di pecat hayo yang lain monggo undur diri saja kalau rasa tidak sanggup dan tidak becus kerja,positif
bantu yang baru datang 30 orang di tes semua positif corona,positif
aku mirip ashraf pria ini ingin nikah bcl,positif
presiden cina xi jinping unjung masjid dan minta umat islam untuk doa di negara yang sedang landa krisis ini kami butuh bantu anda,negatif
jokowi mulai puc4t sby ungk4p p3l4ku k0rup51 jiwasraya duga orang belakang jokow1 heboh,positif
kenal all jakarta water park,netral
camat pedurungan,netral
tv luar negeri sudah berita prabowo the next presiden,netral
simulasi orang gila di bawa ke tps saat milu nantipertama jadi di dunia,positif
jadwal hercules malam ini jam 1900 dan 0300 subuh besok di lanud makassar,netral
ini alquran palsu karang orang kafir,negatif
konser gue 3 menang telak,positif
